,usuario,texto;;
"1649,@felipeneto,""@lsmedeiros12 @w1bbly_w0bbly @felipeneto Cara, se você contrair o corona e morrer bem longe de qualquer pessoa, ótimo! Perfeito! Agora, não valeria a pena contrair o corona, passar para pessoas que não têm nada haver com suas irresponsabilidades e ainda ficar internado no lugar de alguém que realmente precisasse. AÍ­ é F""";;
"1662,@felipeneto,""@OficialMirelle @cristianespina @NayaraCarneiro7 @netoeilish @felipeneto Sim, falsas, assim como a informação que o próprio presidente passou: """"a Suécia é um exemplo de que não precisamos da quarentena"""" (a fala dele não foi assim), e a Suécia é um dos países que tem mais casos de corona vírus no mundo (perdendo apenas para: EUA, Brasil etc).""";;
1664,@felipeneto,@lsmedeiros12 @w1bbly_w0bbly @felipeneto Pega o corona pra gente ver se era exagero ou paranoia https://t.co/GgfFQW0jTS;;
1685,@felipeneto,@sebastiankapa @Ana_Suiak @felipeneto AQUI NO MEU BAIRRO ESTÃO NEM AÍ PRO CORONA ğŸ˜¬;;
"1698,@felipeneto,""@felipeneto #FelipeNetoResponde ";;
Já pensou em dar um fim ao canal ou pretende continuar até passar o hype e AÍ­ parar de produzir pra sempre? Outra dúvida que eu tenho é se vai fazer um projeto arrecadando fundos pra ajudar no combate ao corona? Obrigado por ser essa pessoa incrível!!!â™¥ï¸ &lt;"3""";
"1705,@felipeneto,""@felipeneto #FelipeNetoResponde  se vc fosse o presidente do Brasil, o que vc faria em relação ao corona vírus??""";;
"1732,@felipeneto,""@iandrakarisia @J7BRAZIL @felipeneto @WalterPinto1 Ele disse q foi marcado, em nenhum momento twitou q havia sido feito, é só marcar algo do tipo já é debochar da cara das vítimas de corona""";;
"1798,@felipeneto,""@felipeneto Talvez se estivéssemos mais empenhados em combater o corona vírus, ao.inves nos preocuparmos com as palavras do presidente, e tentar derrubar, e acharmos soluções ao invés de só fazer crÃ­ticas, poderÃ­amos ter menos mortes e estar controlando a doença...""";;
"1849,@felipeneto,""@DanieleBoadicea @felipeneto E essa, onde o Estado tem total poder? Te remete a um discurso recente? Onde um condenado dava graças pela natureza ter criado o corona pras pessoas entenderem que só o Estado é capaz de resolver seus problemas? https://t.co/ZJe2aJUajN""";;
"1853,@felipeneto,""@Ana_Suiak @lilianmachado74 @felipeneto Dai ele vai la, encosta em algo que ta infectado com corona, passa a mão no rosto, pode ser assintomático, tocar em tudo, abraçar pessoas, tudo isso pq ele TINHA que tomar o banho de sol dele.""";;
"1866,@felipeneto,""@PedroEdu5 @Anderson_Renato @felipeneto @FePaesLeme Vamos combinar uma coisa? Falando do corona vírus, quando foi que o presidente se mostrou disposto a ajudar a população?? Ele só lançou algumas """"pérolas"""" como: eu não sou coveiro, e dAÍ­?. Esses comportamentos ferram com a população sucessivamente, diariamente.""";;
"1887,@felipeneto,""@azulcarinho @felipeneto Existe alguma maneira de ir trabalhar sem furar a quarentena? ";;
"Minha mÃe que é empregada doméstica e tem que ir para outra cidade trabalhar, e lá tem casos de corona, mas adivinha, ela não tem escolha.""";;
1935,@felipeneto,@felipeneto Precisa continuar falando não. Já entendemos que vc é contra a liberdade de escolha das pessoas. Não sabia que tomar banho de sol sozinho dá corona vírus. Cê não entendeu como acontece a contaminação;;
"1957,@felipeneto,""@Dorleam @felipeneto Fernandes mentiu.  O Embaixador do Chile reclamou dos números e o Ministério da saude da argentina se retratou.";;
"Esse pessoal da esquerda AMA o corona vírus e TORCE para que morram milhões, só para provar seu ponto de vista.""";;
"1979,@felipeneto,""@felipeneto O cara fala que protege na luta contra o corona";;
;;
5 horas antes;;
;;
"Ah gente é so uma gripesinha""";;
"1989,@felipeneto,""@ViniciosLopesde @drpetrag1 @ThiagoMemdes @felipeneto MDS ele comparou corona com fome, cÃ¢ncer e etc?? Caralho eu pensei q era meme quando vi um cara comentando q gado tá comparando covid com AIDS""";;
2059,@felipeneto,@felipeneto Meu Deus! Imprime dinheiro ai Fernandes... e deixe a Argentina numa crise mais de 30 anos! Argentina esta falida ja faz tempo e agora com esse corona virus e ainda mais esse presidente... fudeu!!!!;;
2061,@felipeneto,@LucasBr82020245 @felipeneto A situação do corona tá ruim AÍ­?;;
