Source,Target,Type,Weight
855,25868,Directed,1
856,26405,Directed,1
857,26406,Directed,1
858,26407,Directed,1
859,26408,Directed,1
860,26409,Directed,1
861,26410,Directed,1
862,26411,Directed,1
863,25913,Directed,1
864,26412,Directed,1
865,26413,Directed,1
866,26414,Directed,1
867,26415,Directed,1
868,25955,Directed,1
869,26094,Directed,1
870,26416,Directed,1
871,26417,Directed,1
872,26418,Directed,1
873,26419,Directed,1
874,25866,Directed,1
875,25649,Directed,1
876,26420,Directed,1
877,26421,Directed,1
878,26422,Directed,1
879,26423,Directed,1
880,26424,Directed,1
881,26425,Directed,1
882,26426,Directed,1
883,25673,Directed,1
884,26427,Directed,1
885,26428,Directed,1
886,26429,Directed,1
887,26430,Directed,1
888,26431,Directed,1
889,26309,Directed,1
890,26432,Directed,1
891,26433,Directed,1
892,26434,Directed,1
893,26435,Directed,1
894,25919,Directed,1
895,26436,Directed,1
896,26437,Directed,1
897,26438,Directed,1
898,26439,Directed,1
899,26440,Directed,1
900,26441,Directed,1
901,26442,Directed,1
902,26443,Directed,1
903,26444,Directed,1
904,26445,Directed,1
905,25698,Directed,1
906,26446,Directed,1
907,26447,Directed,1
908,26448,Directed,1
909,26388,Directed,1
910,25963,Directed,1
911,26061,Directed,1
912,26449,Directed,1
913,26450,Directed,1
914,26451,Directed,1
915,26452,Directed,1
916,26453,Directed,1
917,26454,Directed,1
918,26455,Directed,1
919,25970,Directed,1
920,26456,Directed,1
921,26457,Directed,1
922,26458,Directed,1
923,25623,Directed,1
924,25673,Directed,1
925,26459,Directed,1
926,26460,Directed,1
927,25649,Directed,1
928,25777,Directed,1
929,26461,Directed,1
930,26462,Directed,1
931,26463,Directed,1
932,26464,Directed,1
933,25790,Directed,1
934,26465,Directed,1
935,26466,Directed,1
936,26467,Directed,1
937,26468,Directed,1
938,26469,Directed,1
939,25868,Directed,1
940,26470,Directed,1
941,26471,Directed,1
942,26472,Directed,1
943,25649,Directed,1
944,26473,Directed,1
945,26173,Directed,1
946,26474,Directed,1
947,26475,Directed,1
948,26476,Directed,1
949,26477,Directed,1
950,26478,Directed,1
951,26479,Directed,1
952,26480,Directed,1
953,26481,Directed,1
954,26022,Directed,1
955,26080,Directed,1
956,26482,Directed,1
957,26483,Directed,1
958,26484,Directed,1
959,26485,Directed,1
960,26486,Directed,1
961,26487,Directed,1
962,26488,Directed,1
963,25975,Directed,1
964,26489,Directed,1
965,26490,Directed,1
966,26402,Directed,1
967,25649,Directed,1
968,26491,Directed,1
969,26492,Directed,1
970,26267,Directed,1
971,26493,Directed,1
972,26494,Directed,1
973,26495,Directed,1
974,26496,Directed,1
975,26497,Directed,1
976,26498,Directed,1
977,26499,Directed,1
978,26500,Directed,1
979,26501,Directed,1
980,26502,Directed,1
981,26503,Directed,1
982,26504,Directed,1
983,26505,Directed,1
984,26506,Directed,1
985,26507,Directed,1
986,26508,Directed,1
987,26509,Directed,1
988,26510,Directed,1
989,26511,Directed,1
990,26512,Directed,1
991,26513,Directed,1
992,26514,Directed,1
993,26515,Directed,1
994,26516,Directed,1
995,25868,Directed,1
996,26517,Directed,1
997,26518,Directed,1
998,26519,Directed,1
999,26520,Directed,1
1000,26117,Directed,1
1001,25975,Directed,1
1002,26521,Directed,1
1003,26125,Directed,1
1004,25618,Directed,1
1005,26522,Directed,1
1006,25638,Directed,1
1007,26523,Directed,1
1008,26524,Directed,1
1009,26525,Directed,1
1010,26526,Directed,1
1011,26527,Directed,1
1012,26528,Directed,1
1013,26529,Directed,1
1014,26530,Directed,1
1015,26531,Directed,1
1016,25752,Directed,1
1017,25642,Directed,1
1018,26532,Directed,1
1019,26533,Directed,1
1020,25783,Directed,1
1021,26534,Directed,1
1022,26535,Directed,1
1023,26536,Directed,1
1024,26537,Directed,1
1025,26538,Directed,1
1026,26539,Directed,1
1027,26125,Directed,1
1028,26540,Directed,1
1029,26541,Directed,1
1030,26542,Directed,1
1031,26543,Directed,1
1032,26544,Directed,1
1033,26545,Directed,1
1034,26546,Directed,1
1035,26547,Directed,1
1036,26548,Directed,1
1037,26549,Directed,1
1038,26550,Directed,1
1039,26551,Directed,1
1040,26552,Directed,1
1041,26553,Directed,1
1042,26554,Directed,1
1043,26555,Directed,1
1044,26556,Directed,1
1045,26557,Directed,1
1046,25963,Directed,1
1047,26558,Directed,1
1048,26559,Directed,1
1049,26560,Directed,1
1050,26561,Directed,1
1051,26562,Directed,1
1052,26563,Directed,1
1053,26564,Directed,1
1054,26565,Directed,1
1055,26566,Directed,1
1056,26567,Directed,1
1057,26568,Directed,1
1058,26569,Directed,1
1059,25853,Directed,1
1060,25818,Directed,1
1061,26134,Directed,1
1062,26570,Directed,1
689,26571,Directed,1
1063,26572,Directed,1
1064,26573,Directed,1
1065,26574,Directed,1
1066,26575,Directed,1
1067,26079,Directed,1
1068,26431,Directed,1
1069,26576,Directed,1
1070,25738,Directed,1
1071,26309,Directed,1
1072,26577,Directed,1
1073,25739,Directed,1
1074,25649,Directed,1
1075,26578,Directed,1
1076,26579,Directed,1
1077,26580,Directed,1
1078,26581,Directed,1
1079,26582,Directed,1
1080,26583,Directed,1
1081,26584,Directed,1
1082,26585,Directed,1
1083,26586,Directed,1
1084,26587,Directed,1
1085,25720,Directed,1
1086,26588,Directed,1
1087,26589,Directed,1
1088,26590,Directed,1
1089,26591,Directed,1
1090,26592,Directed,1
1091,26593,Directed,1
1092,26594,Directed,1
1093,25720,Directed,1
1094,26595,Directed,1
1095,26596,Directed,1
1096,26597,Directed,1
1097,26598,Directed,1
1098,26013,Directed,1
1099,26599,Directed,1
1100,26600,Directed,1
1101,26601,Directed,1
1102,26602,Directed,1
