,usuario,texto;;;;;;;;
2899,@JornalOGlobo,@orizzih @katyleneoficial @JornalOGlobo  qual o remÈdio que Claudia e famÌlia tomaram para cura do Corona!;;;;;;;;
3165,@JornalOGlobo,@thomazmunuera @SabrinyCosmi @JornalOGlobo Comeu o teu com azeite nÈ cheio d CORONA...;;;;;;;;
3254,@JornalOGlobo,@JornalOGlobo coronavÌrus È pouco;;;;;;;;
3287,@JornalOGlobo,@SeverioDe @JornalOGlobo A maior causa de morte hj no brasil eh o CORONAVIRUS ü§¶‚Äç‚ôÇÔ∏è;;;;;;;;
3305,@JornalOGlobo,@Souza_Fernando2 @JornalOGlobo Aff! DesinformaÁ„o est· matando mais que o corona.;;;;;;;;
"3437,@JornalOGlobo,""@Diasdiego01 @sofiaschurig @Jadson_jss @JornalOGlobo O Prevent sÍnior teve um resultado maravilhoso no combate ao coronavÌrus, n„o È? https://t.co/WBCVFq1wcR""";;;;;;;;
3462,@JornalOGlobo,@JornalOGlobo Abre tudo pro corona ser feliz;;;;;;;;
"3485,@JornalOGlobo,""@Diasdiego01 @sofiaschurig @Jadson_jss @JornalOGlobo MG tem 100.000 casos suspeitos e o n˙mero de mortes por pneumonia j· em maio È maior que os ˙ltimos 3 anos somados. T· tudo maravilhoso sim, pode crer. Corona nem existe em MG""";;;;;;;;
"3549,@JornalOGlobo,""@sbrazzjr @JornalOGlobo @Flamengo Daki a pouco eles v„o parar , È sÛ o primeiro jogador pegar corona que vai ter que para tudo , infelizmente tem gente que tem que sentir na pele para ver que estamos numa pandemia""";;;;;;;;
3556,@JornalOGlobo,@Rossi8Rachel @JulinhaA2002 @RedeGlobo @GloboNews @OGloboPolitica @JornalOGlobo @jornalnacional Globo sÛ vai se disserem que a m„e dela È prima do Bolsonaro ou est· com Corona;;;;;;;;
"3590,@JornalOGlobo,""@delluca78 @JornalOGlobo Os paÌ≠ses n„o permanecer„o em quarentena permanentemente. As novas ondas do coronavÌrus s„o possÌveis quando a transiÁ„o n„o È feita corretamente. Mas È melhor a fala de especialistas";;;;;;;;
;;;;;;;;
https://t.co/lPLA4pd1Mp;;;;;;;;
;;;;;;;;
https://t.co/JyKPKN4Dga;;;;;;;;
;;;;;;;;
"https://t.co/3WOWSX8a4B""";;;;;;;;
3613,@JornalOGlobo,@bertwarley @JornalOGlobo Vai uma TubaÌ≠na aÌ≠? Corona lover.;;;;;;;;
"3614,@JornalOGlobo,""@DeutshB @JornalOGlobo Os paÌ≠ses n„o permanecer„o em quarentena permanentemente. As novas ondas do coronavÌrus s„o possÌveis quando a transiÁ„o n„o È feita corretamente. Mas È melhor a fala de especialistas, se vc acreditar.";;;;;;;;
;;;;;;;;
https://t.co/lPLA4pd1Mp;;;;;;;;
;;;;;;;;
https://t.co/JyKPKN4Dga;;;;;;;;
;;;;;;;;
"https://t.co/3WOWSX8a4B""";;;;;;;;
"3644,@JornalOGlobo,""@JornalOGlobo Meu amigo Brasil tendo ‚Äòministro‚Äô nesse estilo‚Ä¶quem n„o se lembra do BNDES - paÌ≠s eh muito bom e resiliente porque o nÌvel da galera e o pais ainda mostrar algum resultado, mesmo com Corona e saindo de um governo Lula/Dilma/Temer - Deus sÛ pode ser brasileiro! Hahahaha""";;;;;;;;
"3666,@JornalOGlobo,""@JornalOGlobo @folha @GloboNews @OGloboPolitica @jornalnacional È toda a esquedalhada do #&amp";-^#^$&amp; ;;;;;;
"O @LulaOficial celebrou o CORONAVIRUS e vocÍs celebraram com ele?  porque que n„o vi ninguÈm de vocÍs se manifestar em rep˙dio ao que ele falou? https://t.co/EupQNXDJj7""";;;;;;;;
3676,@JornalOGlobo,@JornalOGlobo RodÌzio par e Ìmpar ok (povo foi cheirar corona no metrÙ). Antecipar feriados ok (povo foi fazer turismo no litoral). O perigo È trabalhar? As atividades essenciais que Bolsonaro libera s„o aquelas que promovem a sa˙de e a subsistÍncia do povo.;;;;;;;;
"3686,@JornalOGlobo,""@JornalOGlobo J· falou isso uma dezena de vezes em dezenas de oportunidades diferentes, com Corona e sem Corona""";;;;;;;;
"3692,@JornalOGlobo,""@AmandinhaXmu @JornalOGlobo #FakeNews ";;;;;;;;
;;;;;;;;
A denuncia diz que os mÈdicos colocam suspeita no atestado, mas para ser considerado morte por corona, È necess·rio o teste positivo.;;;;;;;;
;;;;;;;;
Os exames s„o rastreados, se o mÈdico atestar a morte por covid e n„o for, tem o diploma caÁado.;;;;;;;;
;;;;;;;;
"https://t.co/BcvUpMGaxY""";;;;;;;;
3704,@JornalOGlobo,@JornalOGlobo De todos os paÌ≠ses que est„o vencendo o corona... todos est„o usando...;;;;;;;;
3711,@JornalOGlobo,@JornalOGlobo T· revoltadinho com o capit„o Corona resolveu contr·riar;;;;;;;;
"3714,@JornalOGlobo,""@vitorshida @JornalOGlobo Quem t· segurando vc em casa, pega uma bandeira dos EUA, e vai pra rua, apoiar o jumento, mais se pegar o CORONA  t· fudido""";;;;;;;;
"3720,@JornalOGlobo,""@paulocnf @JornalOGlobo Mortalidade por covid È calculada por: n de mortes/n de casos totais. aÌ≠ d· mais de 10% na suÈcia, o que È muito, e faz dela o paÌ≠s com maior mortalidade por corona no mundo.""";;;;;;;;
"3744,@JornalOGlobo,""@GuilhermeFeLima @JornalOGlobo Quando traficante ordena toque de recolher por causa do corona vira atÈ notÌcia na globo, """"eles fazem mais que o governo"""" e enquanto aos policiais? Mano, eu sempre vou apoiar a polÌcia, A BOA POL√çCIA, traficante È traficante e mata muitas pessoas honesta, sÛ que n„o sai no G1 n„o""";;;;;;;;
3749,@JornalOGlobo,@MarcosE71043479 @WillRauber @JornalOGlobo Ele nao tein entao nao tomou para o corona y o bolsonarco dize que sim tomou Depois de pegar;;;;;;;;
"3750,@JornalOGlobo,""@JornalOGlobo Tem mÈdicos que j· tomaram e est„o bem! E a equipe do @JornalOGlobo vai autorizar, quando o Corona chegar? https://t.co/VbfnZBVhpi""";;;;;;;;
