,usuario,texto;;;
"4448,@RodrigoMaia,""@DedaAladim @RodrigoMaia Gente, mas pera, agora fiquei pensando.. Se for adiar, vão ser 30 dias só, agora devo torcer pra adiar ou cancelar até o corona passar (que acho mais viável)???""";;;
4455,@RodrigoMaia,@AngelpeloBrasil @RodrigoMaia Quer pegar corona Angel? ğŸ˜ğŸ˜ğŸ˜ğŸ˜;;;
"4459,@RodrigoMaia,""'Ainda bem que a natureza criou esse monstro chamado Coronavírus', disse Lula. é vi o presidente da Câmara @RodrigoMaia @davialcolumbre ministros do @STF_oficial soltarem nota de repúdio, se essas malditas palavras fosse dita por @jairbolsonaro já teria alguma nota?""";;;
"4465,@RodrigoMaia,""@letrapreta @RodrigoMaia é precisa mais do impeachment, vcs já estão roubando as verbas da crise Corona !""";;;
"4472,@RodrigoMaia,""@Mateus_L_Silva_ @_PlaMx_ @mariomil691 @paloma_chile @alessandromolon @RodrigoMaia Foi questionado e disse """"e dai"""", mas logo em seguida soliedariesou-se pelas famílias daqueles que morreram. O Gov.federal tem doado milhões aos estados para o combate ao coronavírus. Foram mais de 100mil curados.""";;;
"4492,@RodrigoMaia,""@djivanrodrigues @QuebrandoOTabu @RodrigoMaia Caso você é saiba e acredito que é pelo modo como fala, o Brasil se encaminha cada vez mais para se tornar o primeiro no ranking de paises com mais mortos por Coronavírus, enquanto isso a criança que se denomina representante de uma nação falou """"e dai?""""""";;;
4496,@RodrigoMaia,@RodrigoMaia A maior importância e o corona sumir e leva vc e o presidente juntos..;;;
"4511,@RodrigoMaia,""@RodrigoMaia Queremos saber até onde vai sua responsabilidade com as mortes das vílimas do Coronavírus? Só hoje foram mais de 1000 mortos e você se apegando a falsa responsabilidade com a nação se negando a analisar os pedidos de impedimento deste PR genocida.";;;
"Acorde @RodrigoMaia""";;;
"4512,@RodrigoMaia,""@RodrigoMaia Queremos saber até onde vai sua responsabilidade com as mortes das vílimas do Coronavírus? Só hoje foram mais de 1000 mortos e você se apegando a falsa responsabilidade com a nação se negando a analisar os pedidos de impedimento deste PR genocida.";;;
"Acorde @RodrigoMaia""";;;
4524,@RodrigoMaia,@RodrigoMaia é aprende hoje na frente dos holofotes já provocou @jairbolsonaro de novo . Acabei de ver . Falou que o PR demorou muito para dar solução ao corona .Estou falando que Nhonho é psicopata e pouco confiável. https://t.co/IlDEIPnh5J;;;
4533,@RodrigoMaia,@joomikhail @RodrigoMaia Botafogo é está nem aí se vão morrer 3 ou 30 mil. O que ele quer é se blindar e blindar os dele. O povo q se infectem e morram de corona ou de fome...;;;
"4563,@RodrigoMaia,""@RodrigoMaia Pateta o povo precisando de ajuda  no tratamento do corona e você imbecil pensando em eleições  para gastar o dinheiro do povo ,vai se ferra""";;;
"4581,@RodrigoMaia,""@RodrigoMaia Você deveria ver a porra dos impeachment do imbecil do executivo, ele está causando um caos com a sua ajuda. Provavelmente, todos devem estar sendo beneficiados na rachadinha do corona voucher com os milicos. Morram suas pragas.""";;;
4583,@RodrigoMaia,@RodrigoMaia E os fundões da vergonha vão para o combate ao corona???? é né!!!!;;;
4587,@RodrigoMaia,@antoniofelippee @FernandoMolossi @RodrigoMaia Se é tivesse corona já estarÃ­amos na rua. Só que temos consciência do risco. Vai pra rua só o gado msm.;;;
"4595,@RodrigoMaia,""@RodrigoMaia E o impeachment? Bolsonaro e seus ministros fora podemos voltar a um nível de sanidade que permita combater o corona, avaliar as condições econômicas, rever datas de eleições municipais e do Enem.""";;;
"4596,@RodrigoMaia,""@RodrigoMaia Sem prosseguir o impeachment, você se torna cumplice nas mortes de cidadãos brasileiros  ocasionadas pela postura do Bolsonaro perante a pandemia do Coronavírus. Todas essas mortes também entram na sua conta!!! Canalha!!!""";;;
4597,@RodrigoMaia,@RodrigoMaia Vão cuidar do vírus. Fundão para o Corona já!  Pare de atrasar o país!;;;
"4621,@RodrigoMaia,""@Rachel61768081 @Daniela05079562 @RodrigoMaia Minha tia tem obesidade mórbida, tem lupos, usa CLOROQUINA a mais de dez anos e nem tá aí pro corona""";;;
