,usuario,texto;;
1854,@g1,@g1 Mais vitimas de corona??;;
1867,@g1,@ElDietrich31 @MarcosPaladinoX @JFenix13 @g1 Eles Não tem culpa ? De quem é a culpa então? Pq o médico que avisou sobre o coronavírus que inclusive morreu não foi ouvido ? Se a culpa não é deles é de quem?;;
1870,@g1,@g1 Que sorte pro coronavírus!!!!!;;
1876,@g1,@g1 Isso é pra disfarçar que o corona não foi criado para destruir o grande presidente que é o Bolsonaro;;
"1907,@g1,""@emyissotbmpassa @rlcardosantl @g1 Então ele doou 17 milhões pro corona ğŸ¤”, acho que ele ta tentando dizimar o resto do planeta""";;
"1988,@g1,""@eh_biscoito @LuizSCman @Pensador_RJ @g1 Sim! Exatamente! Vidas estão em risco o tempo todo, e não só por coronavírus, mas sim por fome e milhares de outras doenças q são piores até""";;
"1994,@g1,""@crislucas23 @PitolFrancisco @g1 os não arrependidos? tão falando sim! em manifestações e depois tão morrendo, de corona! ğŸ˜‰""";;
2003,@g1,@g1 Vai com força Corona!!!!!;;
2006,@g1,Pauta da Globo Bolsonaro/Morte coronavírus! Fim @g1;;
"2007,@g1,""@g1 Bem feito, ninguém mandou abrir a porteira pros gringos enfiaram o corona no nosso rabo  agora eles querem os Brasileiros bem longe https://t.co/4SMIknhWRS""";;
"2011,@g1,""@djivanrodrigues @rmsilveirasp @g1 @jose_simao @cirogomes @reinaldoazevedo @sensacionalista e quem quer entrar no epicentro mundial do coronavírus";;
;;
"ja da pra chamar de virus brasileiro""";;
2042,@g1,@Bolso_7 @turoneth @DirceuNusa @g1 @JenioQuadros O filho do presidente falou q pegou corona chefe a lógica tem base;;
2045,@g1,@g1 ELES ESTAO CERTO/AQUI NO BRASIL/O PRESIDENTE ESTA MAIS LIGADO NA POLITICA/DO QUE COM O CORONA;;
"2054,@g1,""@NilaInverse @g1 Meu deus do céu gente essa galera acha que cloroquina é elixir milagroso da cura contra o coronavírus mesmo";;
;;
"Gente loka""";;
2058,@g1,@DirceuNusa @g1 @JenioQuadros Lançou o Delivery de Corona.;;
"2066,@g1,""@g1 ISSO É CULPA DA GLOBO!!! SE NÃO FICACEM MENTINDO PRO MUNDO DIZENDO QUE TEM GENTE MORRENDO DE CORONA NO BRASIL NADA DISSO IA ACONTESER1!!! TODOS SABEMOS WUE É UMA GRANDE FARSA PARA DERRUBAR NOÇO PRESIDENTE, O MELIOR DE TODOS1!!! COMUNISTAS1!!!""";;
"2071,@g1,""@g1 """"EUA anuncia"""" ou """"Os EUA anunciam""""... Mas o corona venceu.""";;
"2085,@g1,""@Roberto72402949 @Bolsonariana11 @cosiello @g1 @SOCIO_CORONA Inclusive, já coloquei todos os estudos científicos validos provando a ineficácia do remédio. É só dar uma olhada, não É muito difícil sair da bolha da alienação e submissão ao Bolsonaro.""";;
"2091,@g1,""@g1 Ué @bernardopkuster achei que seu herói era amigo dos EUA ou isso também é um complô chinês? Seu fosse você sentiria vergonha por tá defendendo um governo desses, mas eu Ã s vezes esqueço que você não acredita em coronavírus nem nada...""";;
"2092,@g1,""@Roberto72402949 @Bolsonariana11 @cosiello @g1 @SOCIO_CORONA a criança É formada, pós graduanda e acredita na CIÚNCIA, não em fake news de whatsapp. Volta pro ensino médio, gado.""";;
"2099,@g1,""@Bolsonariana11 @euelobrisa @cosiello @g1 @SOCIO_CORONA A menina é praticamente uma criança ainda, muito fácil de manipular.""";;
"2103,@g1,""@euelobrisa @Bolsonariana11 @cosiello @g1 @SOCIO_CORONA Vc viu os """"""""especialistas"""" da Grobu. Aqueles que são pagos para falar o qua a mídia,quer.""";;
"2104,@g1,""@euelobrisa @Bolsonariana11 @cosiello @g1 @SOCIO_CORONA Me tira, a Itália, Espanha e França usam a Hidoxicloroquina.""";;
2106,@g1,@g1 Não está dando mais pra ver nada da rede Globo pq só falam do presidente e do corona;;
